ID,이름,설명,효과
100,AbilityName_100,AbilityDesc_100,AbilityEft_100
101,AbilityName_101,AbilityDesc_101,AbilityEft_101
102,AbilityName_102,AbilityDesc_102,AbilityEft_102
103,AbilityName_103,AbilityDesc_103,AbilityEft_103
104,AbilityName_104,AbilityDesc_104,AbilityEft_104
105,AbilityName_105,AbilityDesc_105,AbilityEft_105
106,AbilityName_106,AbilityDesc_106,AbilityEft_106
107,AbilityName_107,AbilityDesc_107,AbilityEft_107
108,AbilityName_108,AbilityDesc_108,AbilityEft_108
109,AbilityName_109,AbilityDesc_109,AbilityEft_109
110,AbilityName_110,AbilityDesc_110,AbilityEft_110
