ID,up_name,up_desc,up_type,up_stat,up_value,up_class,up_category
61000,StatUpName_61000,StatUpDesc_61000,0,0,50,0,1
61001,StatUpName_61001,StatUpDesc_61001,0,0,100,1,1
61002,StatUpName_61002,StatUpDesc_61002,0,0,160,2,1
61003,StatUpName_61003,StatUpDesc_61003,0,0,240,3,1
61004,StatUpName_61004,StatUpDesc_61004,1,0,5,2,1
61005,StatUpName_61005,StatUpDesc_61005,1,0,10,3,1
61006,StatUpName_61006,StatUpDesc_61006,0,1,3,1,2
61007,StatUpName_61007,StatUpDesc_61007,0,1,5,2,2
61008,StatUpName_61008,StatUpDesc_61008,0,2,1,1,1
61009,StatUpName_61009,StatUpDesc_61009,0,2,2,2,1
61010,StatUpName_61010,StatUpDesc_61010,0,2,4,3,1
61011,StatUpName_61011,StatUpDesc_61011,0,5,0.4,0,5
61012,StatUpName_61012,StatUpDesc_61012,0,5,0.8,1,5
61013,StatUpName_61013,StatUpDesc_61013,1,5,4,2,5
61014,StatUpName_61014,StatUpDesc_61014,1,5,8,3,5
61015,StatUpName_61015,StatUpDesc_61015,0,6,0.3,0,5
61016,StatUpName_61016,StatUpDesc_61016,0,6,0.6,1,5
61017,StatUpName_61017,StatUpDesc_61017,0,7,1,2,5
61018,StatUpName_61018,StatUpDesc_61018,0,9,3,1,2
61019,StatUpName_61019,StatUpDesc_61019,0,9,5,2,2
61020,StatUpName_61020,StatUpDesc_61020,0,9,8,3,2
61020,StatUpName_61020,StatUpDesc_61020,0,10,4,3,0
61021,StatUpName_61021,StatUpDesc_61021,0,9,12,4,2
61021,StatUpName_61021,StatUpDesc_61021,0,10,6,4,0
61022,StatUpName_61022,StatUpDesc_61022,0,3,-3,0,1
61022,StatUpName_61022,StatUpDesc_61022,1,5,-8,0,0
61022,StatUpName_61022,StatUpDesc_61022,0,6,-0.5,0,0
61023,StatUpName_61023,StatUpDesc_61023,0,3,-5,1,1
61023,StatUpName_61023,StatUpDesc_61023,1,5,-5,1,0
61023,StatUpName_61023,StatUpDesc_61023,0,6,-0.3,1,0
61024,StatUpName_61024,StatUpDesc_61024,0,0,80,0,1
61024,StatUpName_61024,StatUpDesc_61024,0,2,-1,0,0
61025,StatUpName_61025,StatUpDesc_61025,0,10,8,0,2
61025,StatUpName_61025,StatUpDesc_61025,0,9,-5,0,0
61026,StatUpName_61026,StatUpDesc_61026,0,10,15,1,2
61026,StatUpName_61026,StatUpDesc_61026,0,9,-8,1,0
61027,StatUpName_61027,StatUpDesc_61027,0,3,-1,0,1
61027,StatUpName_61027,StatUpDesc_61027,0,0,30,0,0
61028,StatUpName_61028,StatUpDesc_61028,0,5,0.15,0,5
61028,StatUpName_61028,StatUpDesc_61028,0,6,0.1,0,0
61029,StatUpName_61029,StatUpDesc_61029,0,3,-5,1,1
61029,StatUpName_61029,StatUpDesc_61029,0,11,-5,1,0
61030,StatUpName_61030,StatUpDesc_61030,1,5,5,1,5
61030,StatUpName_61030,StatUpDesc_61030,1,6,8,1,0
61030,StatUpName_61030,StatUpDesc_61030,1,3,3,1,0
61031,StatUpName_61031,StatUpDesc_61031,0,11,8,1,2
61031,StatUpName_61031,StatUpDesc_61031,0,3,5,1,0
61032,StatUpName_61032,StatUpDesc_61032,0,11,15,2,2
61032,StatUpName_61032,StatUpDesc_61032,0,3,8,2,0
61033,StatUpName_61033,StatUpDesc_61033,0,2,1,2,1
61033,StatUpName_61033,StatUpDesc_61033,0,0,50,2,0
61034,StatUpName_61034,StatUpDesc_61034,0,9,25,2,2
61034,StatUpName_61034,StatUpDesc_61034,0,10,-10,2,0
61035,StatUpName_61035,StatUpDesc_61035,0,1,10,3,2
61036,StatUpName_61036,StatUpDesc_61036,0,1,15,4,2
61037,StatUpName_61037,StatUpDesc_61037,0,2,5,3,1
61037,StatUpName_61037,StatUpDesc_61037,0,3,-3,3,0
61038,StatUpName_61038,StatUpDesc_61038,0,11,6,3,2
61039,StatUpName_61039,StatUpDesc_61039,0,7,1,3,5
61039,StatUpName_61039,StatUpDesc_61039,1,6,8,3,0
61040,StatUpName_61040,StatUpDesc_61040,0,5,1,3,5
61040,StatUpName_61040,StatUpDesc_61040,1,5,10,3,0
61040,StatUpName_61040,StatUpDesc_61040,0,6,1,3,0
61040,StatUpName_61040,StatUpDesc_61040,1,6,10,3,0
61040,StatUpName_61040,StatUpDesc_61040,0,3,5,3,0
61041,StatUpName_61041,StatUpDesc_61041,0,3,-15,4,1
61042,StatUpName_61042,StatUpDesc_61042,0,11,15,4,2
61043,StatUpName_61043,StatUpDesc_61043,0,0,300,4,1
61043,StatUpName_61043,StatUpDesc_61043,0,2,5,4,0
61043,StatUpName_61043,StatUpDesc_61043,1,0,10,4,0
61044,StatUpName_61044,StatUpDesc_61044,1,1,25,5,2
61045,StatUpName_61045,StatUpDesc_61045,1,2,30,5,1
61046,StatUpName_61046,StatUpDesc_61046,0,11,40,5,2
61046,StatUpName_61046,StatUpDesc_61046,0,3,10,5,0
61047,StatUpName_61047,StatUpDesc_61047,0,11,-10,5,1
61047,StatUpName_61047,StatUpDesc_61047,1,3,-40,5,0
61048,StatUpName_61048,StatUpDesc_61048,0,9,25,5,2
