ID,u_name,u_type,u_hp,u_atk,u_def,u_immunePer,u_armorLevel,u_moveSpeed,u_jumpPower,u_multijumpCount,u_shotAccuracy,u_criRate,u_criDamage,u_damage,ai_atkCount,ai_atkSpeed,ai_atkDelay,ai_atkRange,ai_sightRange,ai_dropRate
21000,사과1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21001,사과2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21002,배,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20000,약탈자 검사,2,340,15,5,1,0,3,0,0,0,0,0,1,1,0.8,0,0.8,10,0
20001,약탈자 장검사,2,400,20,5,1,0,2,0,0,0,0,0,1,1,1.5,0,1.5,10,0
20002,약탈자 근접 사수,2,300,10,3,1,0,2.5,0,0,60,0,0,1,2,1.75,0.5,10,12,5
20003,약탈자 소총수,2,240,12,1,1,0,2,0,0,35,0,0,1,4,2.25,0.3,15,14,3
20004,약탈자 저격수,2,180,25,0,1,0,1.5,0,0,85,0,0,1,1,2.75,0,25,20,1.5
20005,약탈자 바주카,2,220,20,1,1,0,1.5,0,0,30,0,0,1,1,2,0,20,15,1.5
20006,약탈자 폭격기,3,15000,30,0,0.9,2,3,0,0,0,0,0,1,3,3,1,50,100,100
20007,약탈자 공수부대,2,220,6,1,1,0,3,0,0,30,0,0,1,2,1.25,0.5,12,30,75
20008,약탈자 기갑병,4,800,8,10,0.9,1,1,0,0,25,0,0,1,3,2.25,0.25,12,8,25
20009,약탈자 폭격호출병,4,550,50,3,0.9,0,3.5,0,0,0,0,0,1,3,3.5,0.8,30,30,20
20010,약탈자 포탑,2,280,10,1,1,1,0,0,0,60,0,0,1,2,1.5,0.15,12,12,5
20011,약탈자 정예 저격수,4,380,50,3,1,0,2,0,0,95,0,0,1,2,2.5,0.1,30,35,30
20012,약탈자 정찰 드론,2,150,6,0,1,0,12,0,0,0,0,0,1,2,1.25,0.15,15,12,5
20013,약탈자 난사광,4,600,12,5,0.9,0,3,0,0,15,0,0,1,8,2,0.12,10,8,35
20014,약탈자 척탄병,2,300,30,0,1,0,4,0,0,30,0,0,1,1,3,0,18,15,10
20015,약탈자 분쇄척탄병,4,700,50,5,0.9,0,3.5,0,0,50,0,0,1,1,3,0,20,20,30
20016,약탈자 유탄 드론,2,250,20,1,1,0,0,0,0,0,0,0,1,1,2,0,15,12,20
20017,약탈자 분쇄 포탑,4,680,25,5,0.9,1,0,0,0,0,0,0,1,1,3,0,15,15,80
20018,약탈자 타격 드론,2,300,12,3,1,0,10,0,0,0,0,0,1,5,2.25,0.2,15,15,80
20019,요새 코어,3,32000,50,0,1.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0
20020,약탈자 천장포탑,2,280,10,1,1,1,0,0,0,60,0,0,1,2,1.5,0.15,12,12,5
20021,약탈자 중갑병,4,1200,40,10,0.9,2,1.5,0,0,0,0,0,1,1,2,0,1.5,7,85
20022,약탈자 연사로켓,4,500,20,5,1,0,1.5,0,0,15,0,0,1,3,4,0,20,18,75
20023,약탈자 대형 드론,4,800,20,8,0.9,1,10,0,0,35,0,0,1,4,1.5,0.2,20,20,50
20024,거인,3,35000,100,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
21003,보호막 생성기,0,500,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
