ID,w_mesh,w_name,w_type,w_desc,atk_type,atk_ammo,w_ammoMulti,w_atk,w_rpm,w_magSize,w_reloadTime,w_accuracy,w_range,w_quality,w_bullet
60000,1,무기1,0,"기본적인 피스톨, 무난한 성능",0,0,0,20,150,12,1,65,8,0,0
60001,3,무기2,0,"매우 빠른 연사력, 낮은 데미지",0,0,0,8,400,25,1,35,6,0,3
60002,4,무기3,0,"높은 데미지와 재장전시간, 폭발형",0,0,0,50,120,10,1.5,50,8,0,2
60003,5,무기4,0,"극한 연사 속도, 낮은 데미지",3,0,0,9,900,70,1.5,100,15,0,0
60004,6,무기5,0,"강한 한 발, 관통 속성",1,0,0,80,90,6,1,70,10,0,4
60005,7,무기6,1,"균형잡힌 연사무기, 대인용",0,1,2,20,450,30,1.5,60,20,0,0
60006,8,무기7,3,"초고속 연사, 대량 탄창",0,1,2.3,17,750,65,4.5,25,16,0,3
60007,9,무기8,4,"빠른 연사와 짧은 재장전, 근접전용",0,1,2.75,15,600,35,1,55,12,0,3
60008,10,무기9,6,"넓은 범위 공격, 낮은 사거리",0,1,0.1,350,90,6,2,15,5,0,0
60009,11,무기10,11,"고정밀 소총, 관통력 높음",2,2,1.35,25,450,25,1.5,70,25,0,3
60010,12,무기11,1,"공격력 증가, RPM 감소형",0,1,1.5,27,400,10,1,75,25,0,4
60011,13,무기12,4,RPM과 탄창 강화형 SMG,0,1,3.35,12,700,47,1.25,35,8,0,3
60012,15,무기13,8,"대형 탄창, 높은 DPS",1,2,0.45,85,350,45,5,60,30,0,4
60013,16,무기14,1,전체 성능 강화형,0,1,2.4,17,600,42,1.5,45,15,0,3
60014,17,무기15,3,"극한 연사력, 큰 탄창",0,1,3.2,11,900,90,3.5,15,12,0,0
60015,19,무기16,4,"가장 빠른 연사 속도, 낮은 데미지",0,1,4.25,8,1100,25,1,5,8,0,0
60016,21,무기17,7,"저격용 기본형, 낮은 RPM",0,1,0.15,230,135,8,2,80,36,0,3
60017,23,무기18,10,"매우 높은 데미지, 저속 연사",2,2,0.05,750,45,5,3,90,40,0,3
60018,24,무기19,7,"RPM 증가형, 데미지 감소",0,1,0.25,140,250,12,2.5,70,28,0,3
60019,25,무기20,7,"데미지 증가, RPM 감소",0,1,0.1,350,110,5,2.5,90,40,0,3
60020,26,무기21,10,"최상위 저격 화력, 극한 데미지",2,2,0.05,1050,40,3,3.5,95,45,0,3
60021,28,무기22,9,"고정된 성능, 폭발 딜링",1,2,0.02,1750,60,1,3,65,25,0,1
60022,29,무기23,9,"재장전 증가, 탄 수 증가",0,2,0.05,800,120,4,5,45,20,0,1
60023,30,무기24,9,"초고화력 한 방, 긴 재장전",0,2,0.02,2400,60,1,4.5,75,30,0,1
