ID,up_name,up_desc,up_type,up_stat,up_value,up_tier,up_model
62000,WeaponUpName_62000,WeaponUpDesc_62000,0,0,4,2,0
62001,WeaponUpName_62001,WeaponUpDesc_62001,0,0,8,3,0
62002,WeaponUpName_62002,WeaponUpDesc_62002,0,0,12,4,0
62003,WeaponUpName_62003,WeaponUpDesc_62003,1,1,0.05,2,0
62004,WeaponUpName_62004,WeaponUpDesc_62004,1,1,0.1,3,0
62005,WeaponUpName_62005,WeaponUpDesc_62005,1,1,0.2,4,0
62006,WeaponUpName_62006,WeaponUpDesc_62006,1,2,0.15,2,0
62007,WeaponUpName_62007,WeaponUpDesc_62007,1,2,0.3,3,0
62008,WeaponUpName_62008,WeaponUpDesc_62008,1,2,0.5,4,0
62009,WeaponUpName_62009,WeaponUpDesc_62009,1,3,-0.08,2,0
62010,WeaponUpName_62010,WeaponUpDesc_62010,1,3,-0.15,3,0
62011,WeaponUpName_62011,WeaponUpDesc_62011,1,3,-0.25,4,0
62012,WeaponUpName_62012,WeaponUpDesc_62012,1,5,0.1,2,0
62012,WeaponUpName_62012,WeaponUpDesc_62012,2,12,1,2,0
62013,WeaponUpName_62013,WeaponUpDesc_62013,1,7,0.15,1,0
62014,WeaponUpName_62014,WeaponUpDesc_62014,1,7,0.3,2,0
62015,WeaponUpName_62015,WeaponUpDesc_62015,1,7,0.5,3,0
62016,WeaponUpName_62016,WeaponUpDesc_62016,1,9,0.03,2,0
62017,WeaponUpName_62017,WeaponUpDesc_62017,1,9,0.05,3,0
62018,WeaponUpName_62018,WeaponUpDesc_62018,1,9,0.1,4,0
62019,WeaponUpName_62019,WeaponUpDesc_62019,1,0,0.05,2,0
62020,WeaponUpName_62020,WeaponUpDesc_62020,1,0,0.15,3,0
62021,WeaponUpName_62021,WeaponUpDesc_62021,1,0,0.3,4,0
62022,WeaponUpName_62022,WeaponUpDesc_62022,0,9,2,1,0
62023,WeaponUpName_62023,WeaponUpDesc_62023,0,9,3,2,0
62024,WeaponUpName_62024,WeaponUpDesc_62024,0,9,5,3,0
62025,WeaponUpName_62025,WeaponUpDesc_62025,0,9,8,4,0
62026,WeaponUpName_62026,WeaponUpDesc_62026,0,5,5,1,0
62027,WeaponUpName_62027,WeaponUpDesc_62027,0,5,8,2,0
62028,WeaponUpName_62028,WeaponUpDesc_62028,0,5,12,3,0
62029,WeaponUpName_62029,WeaponUpDesc_62029,1,9,-0.3,5,0
62029,WeaponUpName_62029,WeaponUpDesc_62029,1,5,-0.2,5,0
62029,WeaponUpName_62029,WeaponUpDesc_62029,2,6,2,5,0
62030,WeaponUpName_62030,WeaponUpDesc_62030,1,5,-0.2,4,0
62030,WeaponUpName_62030,WeaponUpDesc_62030,1,0,-0.1,4,0
62030,WeaponUpName_62030,WeaponUpDesc_62030,0,11,2,4,0
62031,WeaponUpName_62031,WeaponUpDesc_62031,1,1,0.15,3,0
62031,WeaponUpName_62031,WeaponUpDesc_62031,0,0,-5,3,0
62031,WeaponUpName_62031,WeaponUpDesc_62031,1,9,-0.25,3,0
62032,WeaponUpName_62032,WeaponUpDesc_62032,1,1,0.35,4,0
62032,WeaponUpName_62032,WeaponUpDesc_62032,0,0,-5,4,0
62032,WeaponUpName_62032,WeaponUpDesc_62032,1,9,-0.15,4,0
62033,WeaponUpName_62033,WeaponUpDesc_62033,1,0,0.06,3,0
62033,WeaponUpName_62033,WeaponUpDesc_62033,0,0,8,3,0
62034,WeaponUpName_62034,WeaponUpDesc_62034,1,0,0.1,4,0
62034,WeaponUpName_62034,WeaponUpDesc_62034,0,0,12,4,0
62035,WeaponUpName_62035,WeaponUpDesc_62035,1,2,0.4,3,0
62035,WeaponUpName_62035,WeaponUpDesc_62035,1,3,0.3,3,0
62036,WeaponUpName_62036,WeaponUpDesc_62036,1,2,0.7,4,0
62036,WeaponUpName_62036,WeaponUpDesc_62036,1,3,0.4,4,0
62037,WeaponUpName_62037,WeaponUpDesc_62037,1,7,-0.3,3,0
62037,WeaponUpName_62037,WeaponUpDesc_62037,1,0,0.6,3,0
62038,WeaponUpName_62038,WeaponUpDesc_62038,1,7,-0.5,4,0
62038,WeaponUpName_62038,WeaponUpDesc_62038,1,0,1,4,0
62039,WeaponUpName_62039,WeaponUpDesc_62039,1,7,0.5,3,0
62039,WeaponUpName_62039,WeaponUpDesc_62039,1,0,-0.3,3,0
62040,WeaponUpName_62040,WeaponUpDesc_62040,1,7,0.5,4,0
62040,WeaponUpName_62040,WeaponUpDesc_62040,1,0,-0.15,4,0
62041,WeaponUpName_62041,WeaponUpDesc_62041,1,0,0.2,5,0
62041,WeaponUpName_62041,WeaponUpDesc_62041,0,0,20,5,0
62041,WeaponUpName_62041,WeaponUpDesc_62041,1,9,0.2,5,0
62041,WeaponUpName_62041,WeaponUpDesc_62041,1,1,-0.2,5,0
62042,WeaponUpName_62042,WeaponUpDesc_62042,1,1,0.4,3,0
62042,WeaponUpName_62042,WeaponUpDesc_62042,1,5,-0.6,3,0
62043,WeaponUpName_62043,WeaponUpDesc_62043,1,1,0.5,4,0
62043,WeaponUpName_62043,WeaponUpDesc_62043,1,5,-0.5,4,0
62044,WeaponUpName_62044,WeaponUpDesc_62044,2,8,1,4,0
62044,WeaponUpName_62044,WeaponUpDesc_62044,0,9,5,4,0
62044,WeaponUpName_62044,WeaponUpDesc_62044,1,1,-0.1,4,0
62045,WeaponUpName_62045,WeaponUpDesc_62045,2,8,2,5,0
62045,WeaponUpName_62045,WeaponUpDesc_62045,1,2,-0.3,5,0
62045,WeaponUpName_62045,WeaponUpDesc_62045,1,7,-0.3,5,0
62046,WeaponUpName_62046,WeaponUpDesc_62046,0,5,15,3,0
62046,WeaponUpName_62046,WeaponUpDesc_62046,1,9,0.15,3,0
62046,WeaponUpName_62046,WeaponUpDesc_62046,1,1,-0.3,3,0
62047,WeaponUpName_62047,WeaponUpDesc_62047,0,5,25,4,0
62047,WeaponUpName_62047,WeaponUpDesc_62047,1,9,0.3,4,0
62047,WeaponUpName_62047,WeaponUpDesc_62047,1,1,-0.2,4,0
62048,WeaponUpName_62048,WeaponUpDesc_62048,0,13,2,4,0
62049,WeaponUpName_62049,WeaponUpDesc_62049,0,13,5,5,0
